S20c创建定时开定时激活,2c3ae804b8ba,"""status"": 0"
s30m创建定时开定时激活,5ccf7fda9182,"""status"": 0"
s30m创建定时关定时激活,5ccf7fda9182,"""status"": 0"
s30m创建定时翻转定时激活,5ccf7fda9182,"""status"": 0"
调光灯开定时激活,5cffffe200b2,"""status"": 0"
调光灯关定时激活,5cffffe200b2,"""status"": 0"
色温灯开定时激活,5cffffe200b2,"""status"": 0"
色温灯关定时激活,5cffffe200b2,"""status"": 0"
窗帘多功能控制盒开定时激活,5cffffe200b2,"""status"": 0"
窗帘多功能控制盒关定时激活,5cffffe200b2,"""status"": 0"
窗帘多功能控制盒停定时激活,5cffffe200b2,"""status"": 0"
rgb开定时激活,5cffffe200b2,"""status"": 0"
rgb关定时激活,5cffffe200b2,"""status"": 0"
rgb颜色控制定时激活,5cffffe200b2,"""status"": 0"
rgb调节色度定时激活,5cffffe200b2,"""status"": 0"
rgb调节饱和度定时激活,5cffffe200b2,"""status"": 0"
rgb调节色度和饱和度定时激活,5cffffe200b2,"""status"": 0"
灯1开定时激活,5cffffe200b2,"""status"": 0"
灯1关定时激活,5cffffe200b2,"""status"": 0"
继电器开定时激活,5cffffe200b2,"""status"": 0"
继电器关定时激活,5cffffe200b2,"""status"": 0"
继电器翻转定时激活,5cffffe200b2,"""status"": 0"
RF灯开定时激活,6001940af5de,"""status"": 0"
RF灯关定时激活,6001940af5de,"""status"": 0"
RF灯翻转定时激活,6001940af5de,"""status"": 0"
RF窗帘开定时激活,6001940af5de,"""status"": 0"
RF窗帘关定时激活,6001940af5de,"""status"": 0"
RF窗帘停定时激活,6001940af5de,"""status"": 0"
RF晾衣架关定时激活,6001940af5de,"""status"": 0"
RF晾衣架照明定时激活,6001940af5de,"""status"": 0"
RF晾衣架风干定时激活,6001940af5de,"""status"": 0"
RF晾衣架烘干定时激活,6001940af5de,"""status"": 0"
RF晾衣架消毒定时激活,6001940af5de,"""status"": 0"
RF晾衣架上移定时激活,6001940af5de,"""status"": 0"
RF晾衣架停止定时激活,6001940af5de,"""status"": 0"
RF晾衣架下移定时激活,6001940af5de,"""status"": 0"
红外转发器空调制冷定时激活,5cffffe200b2,"""status"": 0"
红外转发器机顶盒频道0定时激活,5cffffe200b2,"""status"": 0"
红外转发器自定义第一个按钮定时激活,5cffffe200b2,"""status"": 0"
红外转发器电视频道0定时激活,5cffffe200b2,"""status"": 0"
