casename,uid,assertion
调光灯开,5cffffe200b2,"""status"": 0"
调光灯开,5cffffe200b2,"""status"": 0"
调光灯翻转,5cffffe200b2,"""status"": 0"
色温灯开,5cffffe200b2,"""status"": 0"
色温灯关,5cffffe200b2,"""status"": 0"
色温灯翻转,5cffffe200b2,"""status"": 0"
窗帘4多功能控制盒开,5cffffe200b2,"""status"": 0"
窗帘4多功能控制盒关,5cffffe200b2,"""status"": 0"
窗帘4多功能控制盒停,5cffffe200b2,"""status"": 0"
rgb2开,5cffffe200b2,"""status"": 0"
rgb2关,5cffffe200b2,"""status"": 0"
rgb2颜色控制,5cffffe200b2,"""status"": 0"
rgb2调节色度,5cffffe200b2,"""status"": 0"
rgb2调节饱和度,5cffffe200b2,"""status"": 0"
rgb2调节色度和饱和度,5cffffe200b2,"""status"": 0"
灯19开,5cffffe200b2,"""status"": 0"
灯19关,5cffffe200b2,"""status"": 0"
继电器9开,5cffffe200b2,"""status"": 0"
继电器9关,5cffffe200b2,"""status"": 0"
继电器9翻转,5cffffe200b2,"""status"": 0"
红外空调制冷,5cffffe200b2,"""status"": 0"
红外电视机电源,5cffffe200b2,"""status"": 0"
红外机顶盒电源,5cffffe200b2,"""status"": 0"
红外自定义遥控器zl,5cffffe200b2,"""status"": 0"
